"Geschäft";"Geschäfts ID";"Datum und Uhrzeit";"Belegnummer";"Grund";"Buchungstext";"Währung";"Einnahmen";"Ausgaben";"Mehrwertsteuersatz";"Betrag MwSt";"Kassenbestand"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 13:25:39";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3882";"Sonstige Einnahme";"";"EUR";"5,00";"";"0,00";"0,00";"207,71"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 13:32:43";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3883";"Sonstige Einnahme";"";"EUR";"5,00";"";"0,00";"0,00";"212,71"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 14:01:24";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3884";"Sonstige Einnahme";"";"EUR";"3,50";"";"0,00";"0,00";"216,21"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 14:02:02";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3885";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"220,21"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 14:04:51";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3886";"Sonstige Einnahme";"";"EUR";"20,20";"";"0,00";"0,00";"240,41"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 14:04:51";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3887";"Wechselgeld";"";"EUR";"";"-13,00";"0,00";"0,00";"227,41"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 14:21:58";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3888";"Sonstige Einnahme";"";"EUR";"7,10";"";"0,00";"0,00";"234,51"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 14:23:20";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3889";"Sonstige Einnahme";"";"EUR";"6,70";"";"0,00";"0,00";"241,21"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 14:24:34";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3890";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"245,21"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 14:26:38";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3891";"Sonstige Einnahme";"";"EUR";"11,30";"";"0,00";"0,00";"256,51"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 14:31:41";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3892";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"260,51"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 14:33:47";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3893";"Sonstige Einnahme";"";"EUR";"7,00";"";"0,00";"0,00";"267,51"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 14:43:21";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3894";"Sonstige Einnahme";"";"EUR";"3,30";"";"0,00";"0,00";"270,81"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 14:48:46";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3895";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"274,81"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 15:02:51";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3896";"Sonstige Einnahme";"";"EUR";"6,90";"";"0,00";"0,00";"281,71"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 15:06:57";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3897";"Sonstige Einnahme";"";"EUR";"13,60";"";"0,00";"0,00";"295,31"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 15:07:51";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3898";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"299,31"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 15:25:03";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3899";"Sonstige Einnahme";"";"EUR";"8,10";"";"0,00";"0,00";"307,41"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 15:31:00";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3900";"Sonstige Einnahme";"";"EUR";"5,40";"";"0,00";"0,00";"312,81"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 15:54:40";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3901";"Sonstige Einnahme";"";"EUR";"7,20";"";"0,00";"0,00";"320,01"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 16:17:01";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3902";"Sonstige Einnahme";"";"EUR";"3,50";"";"0,00";"0,00";"323,51"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 16:34:05";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3903";"Sonstige Einnahme";"";"EUR";"6,50";"";"0,00";"0,00";"330,01"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 16:35:08";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3904";"Sonstige Einnahme";"";"EUR";"8,90";"";"0,00";"0,00";"338,91"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 16:40:37";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3905";"Sonstige Einnahme";"";"EUR";"50,00";"";"0,00";"0,00";"388,91"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 16:40:37";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3906";"Wechselgeld";"";"EUR";"";"-46,20";"0,00";"0,00";"342,71"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 16:41:36";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3907";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"346,71"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 16:42:56";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3908";"Erstattung";"";"EUR";"";"-4,00";"0,00";"0,00";"342,71"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 16:57:09";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3909";"Sonstige Einnahme";"";"EUR";"8,00";"";"0,00";"0,00";"350,71"
