"Geschäft";"Geschäfts ID";"Datum";"Währung";"Zahlungsart";"Trinkgeld-Betrag"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"2,21"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,46"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"4,19"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,57"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,21"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,40"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"2,26"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,31"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"2,17"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,32"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,52"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-20";"EUR";"SUMUP";"0,30"
"Suedseite - Bakery and Roastery";"55978";"2025-06-20";"EUR";"SUMUP";"1,00"
